id,product,amount,credit rating,cancellation,age
66209295,K1,96900,1,정상,86
25739665,K1,96900,,정상,
66758652,K1,96900,1,정상,31
66417714,K1,102900,3,정상,51
66423800,K1,66900,6,정상,36
66758631,K1,111900,2,정상,44
66235865,K2,90900,1,정상,72
66758789,K1,105900,4,정상,67
66423252,K1,66900,3,정상,46
66758445,K1,81900,1,정상,32
66758445,K2,81900,1,정상,43
66756888,K1,96900,4,정상,77
66758725,K1,96900,2,정상,28
25742715,K1,96900,,정상,
66758419,K1,96900,2,정상,53
66758446,K1,105900,1,정상,36
66423527,K1,66900,4,정상,35
66158274,K1,96900,4,정상,23
66758584,K1,111900,6,정상,63
66758940,K2,87900,1,정상,53
66758494,K5,120900,7,정상,27
66148108,K1,96900,7,정상,52
66179414,K1,96900,3,정상,27
66423308,K1,66900,2,정상,37
66383798,K1,105900,2,정상,
66758813,K1,105900,3,정상,54
66160293,K1,96900,,정상,
66227000,K1,66900,7,정상,
66756078,K1,81900,4,정상,36
66756078,K2,81900,4,정상,27
66758757,K1,81900,1,정상,38
66758757,K2,81900,1,정상,
66201828,K1,105900,1,정상,55
66758870,K1,105900,3,정상,82
66758654,K1,96900,1,정상,62
66754138,K1,81900,5,정상,76
66754138,K2,81900,5,정상,46
25742723,K2,96900,,정상,
66422479,K1,102900,2,정상,33
25742686,K1,124200,,정상,
66758774,K1,105900,8,정상,57
66758945,K1,96900,6,정상,53
66758572,K1,96900,2,정상,30
66758790,K1,124200,2,정상,44
66357367,K1,96900,,정상,
66758512,K1,96900,6,정상,37
66758832,K2,96900,4,정상,52
66200289,K1,96900,1,정상,43
66623331,K1,96900,4,정상,39
66758161,K1,111900,3,정상,36
66757758,K1,96900,6,정상,34
25742819,K1,142200,,정상,
66758281,K1,96900,1,정상,48
66756490,K1,105900,,정상,
66242466,K1,105900,1,정상,37
66423806,K1,66900,7,정상,31
66423802,K1,66900,3,정상,48
66758504,K1,96900,2,정상,21
66758503,K1,96900,5,정상,34
66419107,K1,96900,5,정상,74
66758279,K3,90900,1,정상,30
66758692,K1,81900,1,정상,37
66758692,K2,81900,1,정상,43
66366766,K2,90900,5,정상,
66505695,K1,96900,3,정상,53
66246764,K2,90900,,정상,
66423774,K1,66900,7,정상,37
66758821,K1,96900,1,정상,40
66218027,K1,81900,1,정상,45
66218027,K2,81900,1,정상,
66758471,K5,120900,7,정상,54
66758865,K1,96900,2,정상,48
66640221,K2,90900,7,정상,48
66423752,K1,66900,,해약,
66758921,K1,96900,9,정상,49
66758247,K1,96900,2,정상,42
66420390,K2,90900,7,정상,28
66754711,K1,96900,4,정상,26
66756495,K1,142200,4,정상,
