,1번웨이퍼,2번웨이퍼,3번웨이퍼,Error_Chip_Rate_Path,PATH
17,Path_21133,Path_12311,Path_33222,0.04459239130434783,195
80,Path_11111,Path_22233,Path_33322,0.04445918367346939,196
75,Path_33311,Path_22233,Path_11122,0.04430612244897959,197
98,Path_11333,Path_23211,Path_32122,0.044276595744680854,198
58,Path_21322,Path_32133,Path_13211,0.04415,199
185,Path_22311,Path_33233,Path_11122,0.044074468085106386,200
96,Path_11333,Path_22211,Path_33122,0.04386734693877551,201
56,Path_21322,Path_12133,Path_33211,0.04386,202
176,Path_22211,Path_33133,Path_11322,0.04377551020408163,203
25,Path_21211,Path_13333,Path_32122,0.04366,204
178,Path_22233,Path_11311,Path_33122,0.04356,205
29,Path_21211,Path_33133,Path_12322,0.04351,206
147,Path_23311,Path_32233,Path_11122,0.04340425531914894,207
26,Path_21211,Path_32133,Path_13322,0.04323,208
163,Path_33222,Path_22311,Path_11133,0.04307222222222222,209
62,Path_21322,Path_33133,Path_12211,0.04279,210
8,Path_21122,Path_33311,Path_12233,0.04223,211
52,Path_21311,Path_32122,Path_13233,0.04158,212
48,Path_21311,Path_12133,Path_33222,0.040891304347826084,213
24,Path_21211,Path_12133,Path_33322,0.04002,214
54,Path_21311,Path_33122,Path_12233,0.03723,215
